Year,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2006,-0.0154,0.0294,-0.0014,-0.0051,0.0065,-0.018,0.0192,-0.006,0.0143,-0.0545,0.0106,0.0098,-0.0243,-0.012,-0.0037,0.0183,-0.0002,0.0145
2025,-0.0326,-0.0231,0.0047,-0.0164,0.0259,-0.0585,0.1448,0.0466,0.0284,-0.0034,-0.0018,0.0057,0.0104,-0.0066,-0.0033,0.0089,,
