Year,1,2,3,4,5,6,7,8,9,10,11,12
2006,-0.0112,-0.0007,0.0154,0.0016,-0.0329,0.0022,-0.0004,0.0209,0.0276,0.0287,0.0169,0.0088
2025,0.0226,-0.0154,-0.062,0.025,0.0587,0.0746,0.0,0.0,0.0,0.0,0.0,0.0
